date,source_type,page,city,campaign_id,group_id,ad_id,keyword_id,calls
2/23/20,paid,/s-zerkalom/,Москва,1370731,171187475,416106525,584734251,1
2/23/20,paid,/s-zerkalom/,Москва,1370731,171187477,416330317,584734267,1
2/23/20,paid,/s-zerkalom/,Тучково,1370731,171187477,416106527,584734273,1
2/24/20,direct,/dver-kassa-dk-4,Де-Мойн,,,,,1
2/24/20,direct,/vxodnaya-dver-atlant-premium,Пермь,,,,,1
2/24/20,organic,/,,,,,,1
2/24/20,organic,/dver-3-klassa-zashhityi-serti,Нижний Новгород,,,,,1
2/24/20,organic,/dveri-kxns/,Рязань,,,,,1
2/24/20,organic,/dveri-s-termorazryivom/,,,,,,1
2/24/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/24/20,organic,/dveri-uteplennye/,Москва,,,,,1
2/24/20,organic,/dveri-uteplennye/,Мытищи,,,,,1
2/24/20,organic,/magnitnaya-bronenakladka-rezi,Москва,,,,,1
2/24/20,organic,/reshyotchatye/,Краснодар,,,,,1
2/24/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
2/24/20,organic,"/stavni-okonnyie,-zashhitnyie-",Белгород,,,,,1
2/24/20,organic,"/stavni-okonnyie,-zashhitnyie-",Москва,,,,,1
2/24/20,organic,/urovni-shumoizolyaczii-vxodny,Москва,,,,,1
2/24/20,organic,/urovni-shumoizolyaczii-vxodny,Череповец,,,,,1
2/24/20,paid,/s-zerkalom/,Москва,1370731,171187445,416106543,584734323,1
2/24/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,1
2/24/20,paid,/v-kotelnuyu/,Москва,1194088,153787223,369955542,513993692,1
2/24/20,referral,/dachnaya-termo-prof?ymclid=15,Москва,,,,,1
2/24/20,referral,/vxodnaya-v-kvartiru-grafit-so,Москва,,,,,1
2/25/20,direct,/dver-kassa-dk-4,Атырау,,,,,1
2/25/20,direct,/vxodnaya-dver-m-600-dorren,Москва,,,,,1
2/25/20,organic,/,Москва,,,,,1
2/25/20,organic,/dveri-s-termorazryivom/,Москва,,,,,2
2/25/20,organic,/s-shumoizolyacziej/,Москва,,,,,1
2/25/20,organic,"/stavni-okonnyie,-zashhitnyie-",Москва,,,,,1
2/25/20,organic,/v-kotelnuyu/,Москва,,,,,1
2/25/20,organic,/v-kotelnuyu/,Ярославль,,,,,1
2/25/20,organic,/vxodnaya-dver-model-kvadro,,,,,,1
2/25/20,paid,/s-shumoizolyacziej/,Москва,1370731,171187459,416106557,584734203,1
2/26/20,direct,/,Москва,,,,,1
2/26/20,organic,/,,,,,,1
2/26/20,organic,/,Москва,,,,,1
2/26/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/26/20,organic,/magnitnaya-bronenakladka-dise,Дзержинск,,,,,1
2/26/20,organic,/magnitnyij-klyuch-disec,Франкфурт-на-Майне,,,,,1
2/26/20,organic,/paradnye-dver/,Москва,,,,,1
2/26/20,organic,/s-shumoizolyacziej/,Санкт-Петербург,,,,,1
2/26/20,organic,/v-kassu/,Москва,,,,,1
2/26/20,organic,/vent-reshetka-protivopozharna,Брянск,,,,,1
2/26/20,organic,/zamok-zpu-tp-rp,Москва,,,,,1
2/26/20,paid,/arochnye-dveri/,Москва,1194086,153787378,369955377,513993819,1
2/26/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,1
2/26/20,referral,/stalnaya-dver-3-klassa-zashhi,Москва,,,,,1
2/27/20,direct,/vxodnaya-dver-s-zerkalom-spar,Москва,,,,,1
2/27/20,organic,/cisa-ap3-s,Москва,,,,,1
2/27/20,organic,/class-gs-sm-015,,,,,,1
2/27/20,organic,/dver-3-klassa-zashhityi-serti,Краснодар,,,,,1
2/27/20,organic,/dveri-kxns/,Москва,,,,,1
2/27/20,organic,/dveri-kxo/,Москва,,,,,1
2/27/20,organic,/dveri-s-termorazryivom/,Москва,,,,,2
2/27/20,organic,/eksczentrik-regulyator-pritvo,Калуга,,,,,1
2/27/20,organic,/nemeckij-uplotnitel,Брянск,,,,,1
2/27/20,organic,/ventilyaczionnyie-reshetki-zh,Пермь,,,,,1
2/27/20,organic,/vxodnaya-dver-model-alligator,Москва,,,,,1
2/27/20,organic,/vzlomostojkie/,Коломна,,,,,1
2/27/20,organic,/zamok-kale-257-r,Воронеж,,,,,1
2/27/20,paid,/s-zerkalom/,Москва,1370731,171187471,416330321,584734243,1
2/27/20,referral,/arochnye-dveri/,Москва,,,,,1
2/28/20,direct,/paradnaya-dver-london,Уфа,,,,,1
2/28/20,direct,/s-shumoizolyacziej/,Новосибирск,,,,,1
2/28/20,organic,/dovodchik-dorma-ts-93-b-2x-sk,Саратов,,,,,1
2/28/20,organic,/dveri-s-termorazryivom/,Москва,,,,,1
2/28/20,organic,/dveri-so-skidkoj/,Москва,,,,,1
2/28/20,organic,/elitnye-vhodnye-dveri-v-kvart,Белгород,,,,,1
2/28/20,organic,/elitnye-vhodnye-dveri-v-kvart,Санкт-Петербург,,,,,1
2/28/20,organic,/nemeckij-uplotnitel,Москва,,,,,1
2/28/20,organic,/s-shumoizolyacziej/,Москва,,,,,2
